observation_id,task_id,task_version,category,workload,tags,font_id,font_family,font_size_px,margin_px,line_gap_px,width,height,patch_columns,patch_rows,patches,estimated_image_tokens,image_sha256,font_sha256,model,attempts,thread_id,latency_ms,returncode,infrastructure_failure,passed,score,response,expected_json,usage_json,instruction_sha256,payload_sha256,completed_at
semantic_001:atkinson-hyperlegible:8px:516062a18c2f,semantic_001,1,semantic_selection,noncoding,selection;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,87,25,3,1,3,3.5999999999999996,516062a18c2f6bf37825f0dcc806da84ca5f3112983b993a010ad62412269f37,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-4b9e-78d1-878c-d98bd8b93df0,22458,0,,True,1.0,Montreal,"""Montreal""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 37120, ""input_tokens"": 43273, ""output_tokens"": 522, ""reasoning_output_tokens"": 341}",40b0e846efe9a109846ffc0829af50e42ce0489375994ad40362e80c976b6b19,6b72b9eb4a9b03e2b8935fc96c5bf1d5d5e6d6bf673ab03a9e94f68b623bb08a,2026-09-05T01:48:21.345872+00:00
semantic_002:atkinson-hyperlegible:8px:8868ef017419,semantic_002,1,semantic_selection,noncoding,minimum;selection;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,81,25,3,1,3,3.5999999999999996,8868ef0174191532f8859309bac3a15f3a9a78cc0410b08536b0d7058e207aba,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-4b20-7bc1-9073-eb4c57ab3211,6079,0,,True,1.0,otter,"""otter""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12921, ""output_tokens"": 52, ""reasoning_output_tokens"": 44}",7d7588df18f3c001366202f8e4add6ca613c03fdff75fbc0ff12488cd66a30e2,33c0615c818b29719e4bc35c8514ee4b8a1c24aba7a4afbee7ad106a1d390f31,2026-09-05T01:48:04.968447+00:00
negation_001:atkinson-hyperlegible:8px:947709add775,negation_001,1,negation,noncoding,not;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,93,25,3,1,3,3.5999999999999996,947709add7758e81e394bd31a143165d5889426859728e927a246686781d37cd,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-4bc2-7012-acd5-2d7084a6098b,5240,0,,True,1.0,banana,"""banana""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12910, ""output_tokens"": 51, ""reasoning_output_tokens"": 44}",f87e916b364aa0b9345186d0a2132f82a3c624a5242720aae9ea58b97f2833a4,ae392015d712e925056aa165a20f03c7b38860fec3dd59f2999f8c788c95ac45,2026-09-05T01:48:04.129853+00:00
negation_002:atkinson-hyperlegible:8px:75a313ed4f14,negation_002,1,negation,noncoding,except;ordering;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,115,25,4,1,4,4.8,75a313ed4f14aa74f67856ad8275e5e1ea2f0b1b46b1ae80e1ce89c31f3063f4,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-4c06-7650-bd3c-06f33d60a7bd,5155,0,,True,1.0,"red
green
yellow","[""red"", ""green"", ""yellow""]","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12909, ""output_tokens"": 51, ""reasoning_output_tokens"": 40}",9651aeaee8ec93fcf51b5a61872a56e85671a7b005339ab2f737369dab545e5a,ea51a96b10183ec80737c7e1496f0c042d8d09f54e5c43c607609a730d14f34c,2026-09-05T01:48:04.043059+00:00
negation_003:atkinson-hyperlegible:8px:170a23f05d42,negation_003,1,negation,noncoding,ignore;ranking;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,144,25,5,1,5,6.0,170a23f05d4257864fa978f858a20258239e56c4d261431fa20aeb9b0d4a8f3d,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-5e65-7dd0-a18f-22a8313aeba3,4615,0,,True,1.0,A,"""A""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12927, ""output_tokens"": 70, ""reasoning_output_tokens"": 63}",5e8da1b5d5b9ce7731d178971370485e421d6782391d8f0f38f44e2e1d02e857,c62f5320f02f81a821de7cbf80e9122a8d3700721781d7e5d3d02e8f912d1a6e,2026-09-05T01:48:08.659390+00:00
conditional_001:atkinson-hyperlegible:8px:c7996d91cf4a,conditional_001,1,conditional,noncoding,strict_threshold;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,126,25,4,1,4,4.8,c7996d91cf4af173e8a232fe1d1dee685672eb4d58afc5027fe85d377faaa6a4,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-5eb2-7870-8451-9c2fd8f0c0a8,5292,0,,True,1.0,LOW,"""LOW""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12904, ""output_tokens"": 58, ""reasoning_output_tokens"": 51}",82405719c0c9580d45965cf7ec5c5e71cebf569372b5160d07185723c70c56f4,736064cbf4aa1733936ff5298ddf848a2846b01929f04f93ce33a03080c68962,2026-09-05T01:48:09.423009+00:00
conditional_002:atkinson-hyperlegible:8px:0c34430adaa8,conditional_002,1,conditional,noncoding,presence;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,138,25,5,1,5,6.0,0c34430adaa80847625e23eb11c5b29ecd2c788fa73aab9c4cfa1b947253543b,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-61cc-7af2-a81c-97afc8afce3b,5524,0,,True,1.0,2026-08-31,"""2026-08-31""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12924, ""output_tokens"": 81, ""reasoning_output_tokens"": 69}",96c82200650a902b6e8d48cf0e2f0c86fc7132b4677534eed72dba19de311567,89d227f31e78ecee708a6c7d3b88a8a7526e4d84bbcee5b0e222b2378738dafc,2026-09-05T01:48:10.493377+00:00
conditional_003:atkinson-hyperlegible:8px:9c4dc53c2e86,conditional_003,1,conditional,noncoding,and_condition;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,155,25,5,1,5,6.0,9c4dc53c2e861cf672fb28af988413d76c4a719d936bd04365845d55c57154b6,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-6f8a-7121-ad1a-a70e532731f5,12593,0,,True,1.0,REVIEW,"""REVIEW""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 24064, ""input_tokens"": 26057, ""output_tokens"": 431, ""reasoning_output_tokens"": 333}",edf684b0f3dde6860eeec6a7447f0aefeec8a0f0b796b1da1150c138a1d1cbd7,b5704abd67aebb83005a70a42a42c0ac8fba2dfa424c340c42f4da42b16a8071,2026-09-05T01:48:21.253371+00:00
multistep_001:atkinson-hyperlegible:8px:d2d46b1a5c5e,multistep_001,1,multi_step,noncoding,ordered_steps;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,153,25,5,1,5,6.0,d2d46b1a5c5e607a6e98b20035f98d5a14483782829d67b818da517efcb12da9,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-72cd-7431-81f0-7edee5466268,4685,0,,True,1.0,10,"""10""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12914, ""output_tokens"": 69, ""reasoning_output_tokens"": 62}",0d509cf9313a2239f967c0104055f1174a8f3698af50dbfcf215a37ab71a66e8,aea0785ad682051a85d95e9b229a2567f9435751b0cf7c6e9171c84f7f808d20,2026-09-05T01:48:14.109202+00:00
multistep_002:atkinson-hyperlegible:8px:a867726bc435,multistep_002,1,multi_step,noncoding,filter_then_select;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,128,25,4,1,4,4.8,a867726bc435e1d3602529fc60ffa3b53d7fec488e78a96af8bfc2a47fee4436,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-76ff-7821-a04e-9d7e6b98149a,9342,0,,False,0.0,27,"""13""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 20992, ""input_tokens"": 26041, ""output_tokens"": 171, ""reasoning_output_tokens"": 76}",7e43fe81becf5ac960da2b0f40e9e4bd88b353503dca504a78d898c926ba42e2,87b249dadb5b10bd879d16ed8c5b86ba73533ae73f60032781cb6595d74afb31,2026-09-05T01:48:19.836279+00:00
